Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
575,576,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,37,1,0,0.0038761026225984,8.437152700935258e-07,,,0.34651566818194507,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2802150537634408,0.0026429630595372
576,577,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,34,0,1,0.0035258114803582,2.272692256610753e-07,,,0.26010337353435625,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2651612903225806,0.0026429630595372
577,578,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,35,1,0,0.0020713701378554,3.384839430964348e-07,,,0.23582326148953833,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2980392156862745,0.0026429630595372
578,579,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,29,1,0,0.001884541939944,2.2456569581663646e-07,,,0.15466726805768283,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2975757575757576,0.0026429630595372
579,580,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,33,1,0,0.0057244300842285,1.711959782824124e-07,,,0.24787520954148642,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2221875,0.0026429630595372
580,581,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,31,0,1,0.0019478318281471,1.841344783315435e-07,,,0.27857902185820194,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2898095238095238,0.0026429630595372
581,582,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,36,1,0,0.0026401998475193,1.0387648785581405e-07,,,0.30900315566943254,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2591919191919192,0.0026429630595372
582,583,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,32,1,0,0.0019314589444547,9.924400501404308e-08,,,0.20029945196572882,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1992222222222222,0.0026429630595372
583,584,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,37,1,0,0.0031882440671324,1.349491185465013e-07,,,0.28849765016392703,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2002222222222222,0.0026429630595372
584,585,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,36,1,0,0.0027077673003077,3.572707214516413e-07,,,0.20992908159535842,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.286236559139785,0.0026429630595372
