,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
10,11,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,9,27,2.0,2.0
11,12,32,<pyews.server_abstractions.Configuration object at 0x00000203D7AC9C90>,10,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC9C90>,32,10,2.0,2.0
12,13,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,32,0,1,,,,,0.2678125,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
13,14,32,<pyews.server_abstractions.Configuration object at 0x00000203D7AC9C90>,10,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.20956989247311827,0.17264681008681748
14,15,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
15,16,6,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,18,40,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,36,2,2.0,2.0
16,17,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3F70>,11,24,2.0,2.0
17,18,2,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6050>,5,38,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,14,15,2.0,2.0
18,19,25,<pyews.server_abstractions.Configuration object at 0x00000203D7AFF1F0>,28,39,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,1,32,2.0,2.0
19,20,2,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6050>,5,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7A67F40>,24,1,2.0,2.0
20,21,13,<pyews.server_abstractions.Configuration object at 0x00000203D7ACB490>,12,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3F70>,11,24,2.0,2.0
21,22,1,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,32,36,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,34,8,0.2731372549019608,0.26912595698583663
22,23,34,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,8,38,1,0,,,,,0.30385964912280705,0.26912595698583663,<pyews.server_abstractions.Configuration object at 0x00000203D7AF04F0>,22,19,2.0,2.0
23,24,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,32,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,14,15,2.0,2.0
24,25,20,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8250>,13,37,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
25,26,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,33,1,0,,,,,0.25606060606060604,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8E50>,16,14,2.0,2.0
26,27,37,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,35,29,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
27,28,35,<pyews.server_abstractions.Configuration object at 0x00000203D7AB7850>,7,38,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
28,29,28,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,21,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFD930>,12,26,2.0,2.0
29,30,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,31,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8250>,20,13,2.0,2.0
30,31,9,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,27,35,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7A67F40>,24,1,2.0,2.0
31,32,39,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,4,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
32,33,9,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,27,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
33,34,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,31,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B22710>,0,38,2.0,2.0
34,35,34,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,8,33,0,1,,,,,0.3150505050505051,0.26912595698583663,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,17,39,0.32333333333333336,0.3054506676452877
35,36,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,5,22,2.0,2.0
36,37,39,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,4,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.28911764705882353,0.17264681008681748
37,38,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,37,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
38,39,25,<pyews.server_abstractions.Configuration object at 0x00000203D7AFF1F0>,28,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.3041666666666666,0.17264681008681748
39,40,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,34,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ACB490>,13,12,2.0,2.0
40,41,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,36,2,2.0,2.0
41,42,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,33,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,9,27,2.0,2.0
42,43,12,<pyews.server_abstractions.Configuration object at 0x00000203D7AFD930>,26,33,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B22710>,0,38,2.0,2.0
43,44,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,36,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
44,45,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,32,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B10FD0>,15,31,2.0,2.0
45,46,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,37,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7A67FA0>,10,0,2.0,2.0
46,47,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,37,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3F70>,11,24,2.0,2.0
47,48,12,<pyews.server_abstractions.Configuration object at 0x00000203D7AFD930>,26,29,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,17,39,0.38632478632478634,0.3054506676452877
