,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
546,547,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.013822948560118675,0.03570229932665825,,,0.43666666666666665,0.17264681008681748
547,548,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.010755443014204502,0.016946930438280106,,,0.3,0.17264681008681748
548,549,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.007068164646625519,0.017015093937516212,,,0.27611111111111114,0.17264681008681748
549,550,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,0,1,0.009038012474775314,0.014207502827048302,,,0.23523809523809525,0.17264681008681748
550,551,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.012636302039027214,0.035593513399362564,,,0.41285714285714287,0.17264681008681748
551,552,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.00881956610828638,0.04033592343330383,,,0.2842857142857143,0.17264681008681748
552,553,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,4,1,0,0.04526018723845482,0.02528734877705574,,,0.26916666666666667,0.308151228202052
553,554,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.01275901310145855,0.006467605009675026,,,0.2688888888888889,0.308151228202052
554,555,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.004243889357894659,0.010839691385626793,,,0.26809523809523805,0.308151228202052
555,556,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.0034385500475764275,0.022573869675397873,,,0.2811111111111111,0.308151228202052
556,557,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.004540313966572285,0.029836300760507584,,,0.24238095238095236,0.308151228202052
557,558,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.007253597490489483,0.02418835647404194,,,0.16266666666666668,0.308151228202052
558,559,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,8,1,0,0.039694055914878845,0.017544757574796677,,,0.3075,0.308151228202052
559,560,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.018276892602443695,0.01345613319426775,,,0.17944444444444443,0.308151228202052
560,561,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.019662978127598763,0.03481326252222061,,,0.16133333333333333,0.3054506676452877
561,562,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,7,1,0,0.005483371205627918,0.02064698189496994,,,0.25047619047619046,0.3054506676452877
562,563,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.008348675444722176,0.01277001854032278,,,0.15733333333333333,0.3054506676452877
563,564,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,9,1,0,0.0036769695580005646,0.013163186609745026,,,0.36925925925925923,0.3054506676452877
564,565,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.013916772790253162,0.02064175345003605,,,0.294,0.17264681008681748
565,566,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.012431418523192406,0.020644286647439003,,,0.3711111111111111,0.17264681008681748
566,567,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.03290478512644768,0.007359316572546959,,,0.164,0.17264681008681748
567,568,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.007342923898249865,0.014534392394125462,,,0.21428571428571427,0.17264681008681748
568,569,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.01226840540766716,0.008863083086907864,,,0.0,0.17264681008681748
569,570,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.0072058639489114285,0.0022618938237428665,,,0.26761904761904765,0.17264681008681748
570,571,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.005295793525874615,0.010679546743631363,,,0.34375,0.17264681008681748
571,572,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.004491167142987251,0.01868591457605362,,,0.2888888888888889,0.17264681008681748
572,573,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.012740528210997581,0.025753779336810112,,,0.14555555555555558,0.17264681008681748
